District,Building Type,Rooms,Area,Floor,Renovation,Price
Քանաքեռ Զեյթուն,Պանելային,3,74,2,Դիզայներական,95000.0
Արաբկիր,Պանելային,3,82,9,Կապիտալ,160000.0
Մալաթիա Սեբաստիա,"Մոնոլիտ, Նորակառույց",2,68,7,Դիզայներական,177000.0
Արաբկիր,Քարե,4,68,6,Կապիտալ,149000.0
Քանաքեռ Զեյթուն,Պանելային,3,65,2,Կապիտալ,160000.0
Շենգավիթ,Պանելային,3,73,1,Կապիտալ,95000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",4,100,10,Կապիտալ,145000.0
Արաբկիր,Քարե,3,58,4,Դիզայներական,149000.0
Կենտրոն,Պանելային,2,40,7,Կապիտալ,127000.0
Մալաթիա Սեբաստիա,Պանելային,2,51,4,Նորմալ վիճակ,66000.0
Արաբկիր,Պանելային,3,74,5,Նորմալ վիճակ,150000.0
Արաբկիր,Պանելային,3,74,5,Նորմալ վիճակ,149342.0
Քանաքեռ Զեյթուն,Քարե,2,55,5,Դիզայներական,145000.0
Մալաթիա Սեբաստիա,"Մոնոլիտ, Նորակառույց",2,56,6,Դիզայներական,120000.0
Մալաթիա Սեբաստիա,Քարե,2,45,3,Դիզայներական,79000.0
Քանաքեռ Զեյթուն,Քարե,2,36,2,Նորմալ վիճակ,54000.0
Շենգավիթ,Մոնոլիտ,3,72,2,Կապիտալ,175000.0
Շենգավիթ,"Մոնոլիտ, Նորակառույց",3,55,2,Կապիտալ,112007.0
Էրեբունի,Մոնոլիտ,3,72,2,Պետական վիճակ,76000.0
Կենտրոն,Պանելային,3,97,7,Կապիտալ,259000.0
Մալաթիա Սեբաստիա,"Մոնոլիտ, Նորակառույց",3,100,17,Կապիտալ,205000.0
Արաբկիր,Քարե,3,72,4,Կապիտալ,150000.0
Արաբկիր,Քարե,1,42,4,Դիզայներական,87000.0
Քանաքեռ Զեյթուն,Պանելային,3,79,2,Կապիտալ,155000.0
Քանաքեռ Զեյթուն,Պանելային,3,76,9,Կապիտալ,150000.0
Մալաթիա Սեբաստիա,"Մոնոլիտ, Նորակառույց",2,54,6,Զրոյական վիճակ,95000.0
Նոր Նորք,Պանելային,2,63,2,Նորմալ վիճակ,79000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,110,17,Զրոյական վիճակ,158000.0
Կենտրոն,Պանելային,3,79,5,Նորմալ վիճակ,175000.0
Դավթաշեն,Պանելային,4,76,8,Կապիտալ,99000.0
Նոր Նորք,Պանելային,3,90,3,Նորմալ վիճակ,105000.0
Դավթաշեն,Պանելային,3,80,5,Կապիտալ,130000.0
Մալաթիա Սեբաստիա,Քարե,1,30,3,Կապիտալ,60000.0
Մալաթիա Սեբաստիա,Պանելային,4,92,3,Նորմալ վիճակ,110000.0
Քանաքեռ Զեյթուն,Պանելային,2,43,2,Կապիտալ,80000.0
Կենտրոն,Պանելային,2,75,8,Նորմալ վիճակ,225000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,73,11,Կապիտալ,109000.0
Կենտրոն,Քարե,3,51,6,Կապիտալ,145000.0
Քանաքեռ Զեյթուն,Քարե,2,55,4,Դիզայներական,149000.0
Դավթաշեն,Պանելային,3,62,4,Դիզայներական,130000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,65,2,Զրոյական վիճակ,165000.0
Ավան,"Մոնոլիտ, Նորակառույց",2,49,11,Զրոյական վիճակ,76808.0
Քանաքեռ Զեյթուն,Պանելային,3,73,4,Կապիտալ,96000.0
Արաբկիր,Քարե,3,75,3,Նորմալ վիճակ,125000.0
Արաբկիր,Քարե,3,84,3,Պետական վիճակ,135000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",2,46,15,Զրոյական վիճակ,92000.0
Կենտրոն,Պանելային,3,73,7,Կապիտալ,138000.0
Արաբկիր,Պանելային,3,94,2,Կապիտալ,160000.0
Կենտրոն,Պանելային,2,49,13,Կապիտալ,88000.0
Դավթաշեն,Մոնոլիտ,3,71,14,Դիզայներական,162000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,54,7,Կապիտալ,240000.0
Արաբկիր,Պանելային,4,106,13,Կապիտալ,145000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",2,41,6,Կապիտալ,123000.0
Մալաթիա Սեբաստիա,Պանելային,3,92,12,Պետական վիճակ,92000.0
Արաբկիր,Քարե,3,80,4,Կապիտալ,210000.0
Արաբկիր,Պանելային,3,84,7,Դիզայներական,135000.0
Կենտրոն,Քարե,2,55,1,Կապիտալ,105000.0
Քանաքեռ Զեյթուն,Քարե,3,77,2,Կապիտալ,145000.0
Աջափնյակ,Քարե,2,37,2,Կապիտալ,69000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",3,77,4,Զրոյական վիճակ,170000.0
