Տարածաշրջան,Շինության տիպ,Սենյակներ,Մակերես,Հարկ,Վերանորոգում,Գինը
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,48,9,Կոսմետիկ,$61000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,138,13,Զրոյական վիճակ,$2650
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,97,7,Զրոյական վիճակ,պայմ.
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,77,6,Կապիտալ,$1596
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",3,72,4,Կապիտալ,$175000
"Երևան, Կենտրոն",Քարե,3,93,3,Դիզայներական,$309000
"Երևան, Կենտրոն",Պանելային,2,40,8,Նորմալ վիճակ,$80000
"Երևան, Դավթաշեն",Պանելային,3,96,5,Կապիտալ,$135000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,83,6,Կապիտալ,$205000
"Երևան, Կենտրոն",Քարե,3,97,3,Նորմալ վիճակ,$350000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,117,7,Կապիտալ,$350000
"Երևան, Շենգավիթ",Պանելային,3,44,1,Պետական վիճակ,$55000
"Երևան, Արաբկիր",Քարե,2,53,3,Նորմալ վիճակ,$87000
"Երևան, Կենտրոն",Քարե,3,106,6,Նորմալ վիճակ,$300000
"Երևան, Կենտրոն",Քարե,3,85,4,Կապիտալ,$266000
"Երևան, Արաբկիր",Պանելային,3,82,9,Նորմալ վիճակ,$160000
"Արմավիր, Մեծամոր","Պանելային, Նորակառույց",2,67,5,Զրոյական վիճակ,$45000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,73,9,Դիզայներական,$125000
"Երևան, Քանաքեռ Զեյթուն",Քարե,3,78,2,Կապիտալ,$110000
"Երևան, Մալաթիա Սեբաստիա",Քարե,3,78,3,Նորմալ վիճակ,$85000
"Երևան, Արաբկիր","Կասետային, Նորակառույց",2,38,7,Զրոյական վիճակ,պայմ.
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,74,2,Դիզայներական,$95000
"Երևան, Արաբկիր",Պանելային,3,82,9,Կապիտալ,$160000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,68,7,Դիզայներական,$177000
"Երևան, Արաբկիր",Քարե,4,68,6,Կապիտալ,$149000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,65,2,Կապիտալ,$160000
"Երևան, Շենգավիթ",Պանելային,3,73,1,Կապիտալ,$95000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",4,100,10,Կապիտալ,$145000
"Երևան, Արաբկիր",Քարե,3,58,4,Դիզայներական,$149000
"Երևան, Կենտրոն",Պանելային,2,40,7,Կապիտալ,$127000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,51,4,Նորմալ վիճակ,$66000
"Երևան, Արաբկիր",Պանելային,3,74,5,Նորմալ վիճակ,$150000
"Երևան, Արաբկիր",Պանելային,3,74,5,Նորմալ վիճակ,$149342
"Երևան, Քանաքեռ Զեյթուն",Քարե,2,55,5,Դիզայներական,$145000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,56,6,Դիզայներական,$120000
